id,station,country,lat,lon,area,altitude
6335020,REES,DE,51.756918,6.395395,159300,8
6335050,DUESSELDORF,DE,51.225547,6.770183,147680,24.48
6335060,KOELN,DE,50.936961,6.963293,144232,34.97
6335070,ANDERNACH,DE,50.443386,7.39205,139549,51.47
6335100,KAUB,DE,50.085444,7.764967,103488,67.66
6335150,MAINZ,DE,50.003988,8.275313,98206,78.43
6335170,SPEYER,DE,49.323807,8.448717,53131,88.52
6335180,WORMS,DE,49.64112,8.376019,68827,84.16
6335200,MAXAU,DE,49.038985,8.305563,50196,97.79
6335400,RHEINFELDEN,DE,47.561464,7.800326,34550,259.59
6435060,LOBITH,NL,51.84,6.11,160800,8.53
6935050,BASEL(ST.ALBAN),CH,47.5551,7.5994,35901,293.891
6935051,"BASEL, RHEINHALLE",CH,47.5594,7.6167,35897,293.864
6935052,"BASEL, SCHIFFLAENDE",CH,47.5599,7.5884,35905,292.887
6935053,"RHEINFELDEN, MESSSTATION",CH,47.5607,7.7999,34526,309.697
6935054,REKINGEN,CH,47.5704,8.33,14718,370.174
6935055,"NEUHAUSEN, FLURLINGERBRUECKE",CH,47.6823,8.6259,11887,429.577
6935145,DOMAT/EMS,CH,46.8377,9.4561,3229,622.884
6935146,FELSBERG,CH,46.8439,9.4825,3249,609.838
6935500,"DIEPOLDSAU, RIETBRUECKE",CH,47.3831,9.6409,6119,456.273
